"No.","Time","Source","Destination","Protocol","Length","Info"
"2164","11.287346","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=360543 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2165","11.287346","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=361983 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2166","11.287346","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=363423 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2167","11.287560","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2168","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=366303 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2169","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=367743 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2170","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=369183 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2171","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=370623 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2172","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=372063 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2173","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=373503 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2174","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=374943 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2175","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=376383 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2176","11.287560","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=377823 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2177","11.287592","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=379263 Win=132352 Len=0"
"2178","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=379263 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2179","11.287761","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2180","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=382143 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2181","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=383583 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2182","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=385023 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2183","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=386463 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2184","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=387903 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2185","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=389343 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2186","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=390783 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2187","11.287761","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=392223 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2188","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=393663 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2189","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=395103 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2190","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=396543 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2191","11.288182","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2192","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=399423 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2193","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=400863 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2194","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=402303 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2195","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=403743 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2196","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [PSH, ACK] Seq=405183 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2197","11.288182","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=406623 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2198","11.288325","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=408063 Win=132352 Len=0"
"2199","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=408063 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2200","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=409503 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2201","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=410943 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2202","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=412383 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2203","11.288614","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2204","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=415263 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2205","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=416703 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2206","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=418143 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2207","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=419583 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2208","11.288614","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=421023 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2209","11.288790","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=422463 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2210","11.288790","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=423903 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2211","11.288790","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=425343 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2212","11.288790","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=426783 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2213","11.288790","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=428223 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2214","11.288790","187.33.247.110","192.168.0.112","TCP","1366","443  >  57964 [ACK] Seq=429663 Ack=8718 Win=82944 Len=1312 [TCP segment of a reassembled PDU]"
"2215","11.288823","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=430975 Win=132352 Len=0"
"2233","11.300933","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2234","11.300933","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=432415 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2235","11.300933","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=433855 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2236","11.300933","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=435295 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2237","11.301064","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=436735 Win=132352 Len=0"
"2238","11.301983","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=436735 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2239","11.301983","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=438175 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2240","11.301983","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=439615 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2241","11.301983","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=441055 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2242","11.301983","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=442495 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2243","11.301983","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=443935 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2262","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=445375 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2263","11.306452","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2264","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=448255 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2265","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=449695 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2266","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=451135 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2267","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=452575 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2268","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=454015 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2269","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=455455 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2270","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=456895 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2271","11.306452","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=458335 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2272","11.306554","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=459775 Win=132352 Len=0"
"2273","11.306950","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=459775 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2274","11.306950","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=461215 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2275","11.306950","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2276","11.306950","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=464095 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2277","11.306950","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=465535 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2278","11.306950","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=466975 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2279","11.306950","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=468415 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2280","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=469855 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2281","11.310397","187.33.247.110","192.168.0.112","TCP","182","443  >  57964 [PSH, ACK] Seq=471295 Ack=8718 Win=82944 Len=128 [TCP segment of a reassembled PDU]"
"2282","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=471423 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2283","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=472863 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2284","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=474303 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2285","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=475743 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2286","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=477183 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2287","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=478623 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2288","11.310397","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2289","11.310397","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=481503 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2290","11.310616","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=482943 Win=132352 Len=0"
"2291","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=482943 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2292","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=484383 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2293","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=485823 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2294","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=487263 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2295","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=488703 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2296","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=490143 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2297","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=491583 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2298","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=493023 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2299","11.310979","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=494463 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2300","11.310979","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2301","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=497343 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2302","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=498783 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2303","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=500223 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2304","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=501663 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2305","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=503103 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2306","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=504543 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2307","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=505983 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2308","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=507423 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2309","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=508863 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2310","11.311977","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=510303 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2311","11.312187","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=511743 Win=132352 Len=0"
"2312","11.312647","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2313","11.312647","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=513183 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2314","11.312647","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=514623 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2315","11.312647","187.33.247.110","192.168.0.112","TLSv1.3","645","Application Data"
"2317","11.312739","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=516654 Win=132352 Len=0"
"3498","17.553253","192.168.0.112","187.33.247.110","TLSv1.3","1549","Application Data"
"3499","17.571728","187.33.247.110","192.168.0.112","TCP","60","443  >  57964 [ACK] Seq=516654 Ack=10213 Win=86016 Len=0"
"3502","17.573788","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data"
"3503","17.573788","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=518094 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3504","17.573788","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=519534 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3505","17.573788","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=520974 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3506","17.573788","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=522414 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3507","17.573788","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=523854 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3508","17.573788","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=525294 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3509","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=526734 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3510","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=528174 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3511","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=529614 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3512","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=531054 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3513","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=532494 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3514","17.574856","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"3515","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=535374 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3516","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=536814 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3517","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=538254 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3518","17.574856","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=539694 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3519","17.574913","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=10213 Ack=541134 Win=132352 Len=0"
"3520","17.574985","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=541134 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3521","17.574985","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=542574 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3522","17.574985","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=544014 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3523","17.576013","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=545454 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3524","17.576013","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=546894 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3525","17.576013","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=548334 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3526","17.576013","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"3527","17.576013","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=551214 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3528","17.576013","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=552654 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3529","17.576013","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=554094 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3530","17.576043","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=10213 Ack=555534 Win=132352 Len=0"
"3531","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=555534 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3532","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=556974 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3533","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=558414 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3534","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=559854 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3535","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=561294 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3536","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=562734 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3537","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=564174 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3538","17.583179","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"3539","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=567054 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3540","17.583179","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=568494 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3541","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=569934 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3542","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=571374 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3543","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=572814 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3544","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=574254 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3545","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=575694 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3546","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=577134 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3547","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=578574 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
"3548","17.583677","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=580014 Ack=10213 Win=86016 Len=1440 [TCP segment of a reassembled PDU]"
