"No.","Time","Source","Destination","Protocol","Length","Info"
"2126","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=308703 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2127","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=310143 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2128","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=311583 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2129","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=313023 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2130","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=314463 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2131","11.282035","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2132","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=317343 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2133","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=318783 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2134","11.282035","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=320223 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2135","11.282371","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=8718 Ack=321663 Win=132352 Len=0"
"2136","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=321663 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2137","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=323103 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2138","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=324543 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2139","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=325983 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2140","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=327423 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2141","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=328863 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2142","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=330303 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2143","11.286688","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data [TCP segment of a reassembled PDU]"
"2144","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=333183 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2145","11.286688","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=334623 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2146","11.287103","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=336063 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2147","11.287103","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=337503 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2148","11.287103","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=338943 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2149","11.287103","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=340383 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
"2150","11.287103","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=341823 Ack=8718 Win=82944 Len=1440 [TCP segment of a reassembled PDU]"
